[Cabalist]
Base Class=Mage
Primary Attribute=Intelligence
Secondary Attribute=Dexterity
Tertiary Attribute=Quickness
Multiplier=1
Description=Cabalist are Mages that have embraced the spiritual side of magic and engage in studies of spirit destruction and creation. Their specialty is creating Golems out of inanimate matter that can be commanded to do their bidding.
Specialisation 1=Vivification
Style 21=Excite Aggression
Style 21 Level=28
Style 21 Description=+23% Pet Attack Speed
Style 22=Fortify Golem
Style 22 Level=29
Style 22 Description=+X pet Strength & Constitution
Style 23=Encase Spirit
Style 23 Level=30
Style 23 Description=AoE Snare for 78 sec.
Style 24=Quicken Golem
Style 24 Level=31
Style 24 Description=+X pet Dexterity & Quickness
Style 25=Dissipate Immunities
Style 25 Level=33
Style 25 Description=-X% Spirit Resistaince
Style 26=Pierce Flaw
Style 26 Level=34
Style 26 Description=Pet Dmg. Add, 9.1 Dmg. / sec.
Style 27=Dissipate Will
Style 27 Level=36
Style 27 Description=-X% Body Resistaince
Style 28=Dissipate Conductivity
Style 28 Level=37
Style 28 Description=-X% Energy Resistaince
Style 29=Magnify Aggression
Style 29 Level=38
Style 29 Description=+26% Pet Attack Speed
Style 30=Imprison Spirit
Style 30 Level=38
Style 30 Description=AoE Snare for 96 sec.
Style 31=Empower Golem
Style 31 Level=39
Style 31 Description=+X pet Strength & Constitution
Style 32=Accelerate Golem
Style 32 Level=41
Style 32 Description=+X pet Dexterity & Quickness
Style 33=Exploit Flaw
Style 33 Level=44
Style 33 Description=Pet Dmg. Add, 11.5 Dmg. / sec.
Style 34=Banish Immunities
Style 34 Level=46
Style 34 Description=-X% Spirit Resistaince
Style 35=Banish Will
Style 35 Level=47
Style 35 Description=-X% Body Resistaince
Style 36=Shackle Spirit
Style 36 Level=48
Style 36 Description=AoE Snare for 114 sec.
Style 37=Overcharge Aggression
Style 37 Level=49
Style 37 Description=+30% Pet Attack Speed
Style 38=Banish Conductivity
Style 38 Level=49
Style 38 Description=-X% Energy Resistaince
Style 39=Vivify Golem
Style 39 Level=50
Style 39 Description=+X pet Strength & Constitution
[Essence Manipulation]
Description=When a Cabalist specializes in Body Destruction, this skill is opened to him. It deals with Lifetaps, Health Transferration, and debuffs.
Style 1=Inflict Malise
Style 1 Level=2
Style 1 Description=-16% Attack Speed for 33 sec.
Style 2=Cursed Vigor
Style 2 Level=3
Style 2 Description=1.0 Minute Disease
Style 3=Shift Health
Style 3 Level=4
Style 3 Description=Caster transfers up to 22 HP
Style 4=Snatch Lifeforce
Style 4 Level=5
Style 4 Description=22 DD, 70% healed on caster
Style 5=Shift Vigor
Style 5 Level=6
Style 5 Description=Caster transfers up to 30 HP
Style 6=Pilfer Lifeforce
Style 6 Level=7
Style 6 Description=30 DD, 70% healed on caster
Style 7=Inflict Greater Malise
Style 7 Level=8
Style 7 Description=-19% Attack Speed for 44 sec.
Style 8=Shift Essence
Style 8 Level=9
Style 8 Description=Caster transfers up to 42 HP
Style 9=Drain Lifeforce
Style 9 Level=10
Style 9 Description=39 DD, 70% healed on caster
Style 10=Shift Vitality
Style 10 Level=12
Style 10 Description=Caster transfers up to 54 HP
Style 11=Inflict Suffering
Style 11 Level=13
Style 11 Description=-21% Attack Speed for 52 sec.
Style 12=Siphon Lifeforce
Style 12 Level=14
Style 12 Description=56 DD, 70% healed on caster
Style 13=Cursed Spirit
Style 13 Level=15
Style 13 Description=1.5 Minute Disease, 4 foot radius
Style 14=Shift Spirit
Style 14 Level=16
Style 14 Description=Caster transfers up to 71 HP
Style 15=Absorb Lifeforce
Style 15 Level=18
Style 15 Description=73 DD, 80% healed on caster
Style 16=Inflict Greater Suffering
Style 16 Level=19
Style 16 Description=-24% Attack Speed for 60 sec.
Style 17=Tansplace Health
Style 17 Level=21
Style 17 Description=Caster transfers up to 91 HP
Style 18=Steal Lifeforce
Style 18 Level=23
Style 18 Description=90 DD, 80% healed on caster
Style 19=Cursed Soul
Style 19 Level=24
Style 19 Description=2.0 Minute Disease, 5 foot radius
Style 20=Inflict Misery
Style 20 Level=25
Style 20 Description=-27% Attack Speed for 72 sec.
Style 21=Transplace Vigor
Style 21 Level=27
Style 21 Description=Caster transfers up to 116 HP
Style 22=Seize Lifeforce
Style 22 Level=28
Style 22 Description=111 DD, 80% healed on caster
Style 23=Transplace Essence
Style 23 Level=31
Style 23 Description=Caster transfers up to 132 HP
Style 24=Inflict Greater Misery
Style 24 Level=32
Style 24 Description=-31% Attack Speed for 84 sec.
Style 25=Cursed Vitality
Style 25 Level=34
Style 25 Description=2.5 Minute Disease, 6 foot radius
Style 26=Capture Lifeforce
Style 26 Level=35
Style 26 Description=137 DD, 90% healed on caster
Style 27=Transplace Vitality
Style 27 Level=36
Style 27 Description=Caster transfers up to 152 HP
Style 28=Inflict Excrutiation
Style 28 Level=39
Style 28 Description=-34% Attack Speed for 96 sec.
Style 29=Cursed Essence
Style 29 Level=44
Style 29 Description=3.0 Minute Disease, 7 foot radius
Style 30=Abduct Lifeforce
Style 30 Level=45
Style 30 Description=175 DD, 90% healed on caster
Style 31=Transplace Spirit
Style 31 Level=46
Style 31 Description=Caster transfers up to 193 HP
Style 32=Inflict Greater Excrutiaton
Style 32 Level=47
Style 32 Description=-38% Attack Speed for 108 sec.
[Matter Manipulation]
Description=When a Cabalist specializes in Matter Manipulation, this skill is opened to him. It deals with DoTs and pet damage shields.
Style 1=Reflect Attack
Style 1 Level=1
Style 1 Description=Pet Dmg. Shield, 0.7 Dmg. / sec.
Style 2=Lesser Decrepify
Style 2 Level=2
Style 2 Description=DoT, 4 damage per 4 seconds
Style 3=Decrepify
Style 3 Level=3
Style 3 Description=DoT, 6 damage per 4 seconds
Style 4=Reflect Blow
Style 4 Level=4
Style 4 Description=Pet Dmg. Shield, 3 Dmg. / sec.
Style 5=Lesser Deterioration
Style 5 Level=5
Style 5 Description=DoT, 9 damage per 4 seconds
Style 6=Reflect Damage
Style 6 Level=6
Style 6 Description=Pet Dmg. Shield, 4.5 Dmg. / sec.
Style 7=Deterioration
Style 7 Level=7
Style 7 Description=DoT, 13 damage per 4 seconds
Style 8=Reflect Offense
Style 8 Level=9
Style 8 Description=Pet Dmg. Shield, 6.8 Dmg. / sec.
Style 9=Lesser Contamination
Style 9 Level=10
Style 9 Description=DoT, 17 damage per 4 seconds
Style 10=Negate Sight
Style 10 Level=11
Style 10 Description=25% range debuff, for 2 minutes
Style 11=Contamination
Style 11 Level=13
Style 11 Description=DoT, 23 damage per 4 seconds
Style 12=Channel Attack
Style 12 Level=15
Style 12 Description=Pet Dmg. Shield, 10.5 Dmg. / sec.
Style 13=Lesser Devolution
Style 13 Level=16
Style 13 Description=DoT, 29 damage per 4 seconds
Style 14=Puncture Spirit
Style 14 Level=18
Style 14 Description=AoE DoT, 33 damage per 5 sec.
Style 15=Nullify Sight
Style 15 Level=19
Style 15 Description=35% range debuff, for 2 minutes
Style 16=Devolution
Style 16 Level=21
Style 16 Description=DoT, 37 damage per 4 seconds
Style 17=Channel Blow
Style 17 Level=22
Style 17 Description=Pet Dmg. Shield, 15.1 Dmg. / sec.
Style 18=Obliviate Sight
Style 18 Level=24
Style 18 Description=45% range debuff, for 2 minutes
Style 19=Perforate Spirit
Style 19 Level=24
Style 19 Description=AoE DoT, 43 damage per 5 sec.
Style 20=Lesser Degeneration
Style 20 Level=27
Style 20 Description=DoT, 49 damage per 4 seconds
Style 21=Bore Spirit
Style 21 Level=29
Style 21 Description=AoE DoT, 53 damage per 5 sec.
Style 22=Channel Damage
Style 22 Level=30
Style 22 Description=Pet Dmg. Shield, 20.3 Dmg. / sec.
Style 23=Destroy Sight
Style 23 Level=32
Style 23 Description=55% range debuff, for 2 minutes
Style 24=Degeneration
Style 24 Level=35
Style 24 Description=DoT, 63 damage per 4 seconds
Style 25=Drill Spirit
Style 25 Level=36
Style 25 Description=AoE DoT, 65 damage per 5 sec.
Style 26=Abrogate Sight
Style 26 Level=39
Style 26 Description=65% range debuff, for 2 minutes
Style 27=Channel Offense
Style 27 Level=40
Style 27 Description=Pet Dmg. Shield, 27.1 Dmg. / sec.
Style 28=Lesser Delaceration
Style 28 Level=44
Style 28 Description=DoT, 79 damage per 4 seconds
Style 29=Lance Spirit
Style 29 Level=46
Style 29 Description=AoE DoT, 83 damage per 5 sec.
Style 30=Blank Sight
Style 30 Level=48
Style 30 Description=75% range debuff, for 2 minutes
Style 31=Delaceration
Style 31 Level=49
Style 31 Description=DoT, 89 damage per 4 seconds
Style 32=Reflective Backlash
Style 32 Level=50
Style 32 Description=Pet Dmg. Shield, 33.9 Dmg. / sec.
[Body Destruction]
Description=Albion's spell skill for Mages dealing with Lifetaps and Debuffs. Available to Sorcerors and Cabalists.
Style 1=Minor Vitality Drain
Style 1 Level=1
Style 1 Description=5 DD, 30% healed on caster
Style 2=Lesser Vitality Drain
Style 2 Level=2
Style 2 Description=8 DD, 30% healed on caster
Style 3=Vitality Drain
Style 3 Level=3
Style 3 Description=12 DD, 30% healed on caster
Style 4=Minor Crippling
Style 4 Level=3
Style 4 Description=9 sec. speed reduction
Style 5=Fatigue Body
Style 5 Level=4
Style 5 Description=-21 Strength
Style 6=Greater Vitality Drain
Style 6 Level=5
Style 6 Description=18 DD, 30% healed on caster
Style 7=Lesser Crippling
Style 7 Level=6
Style 7 Description=13 sec. speed reduction
Style 8=Major Vitality Drain
Style 8 Level=7
Style 8 Description=25 DD, 30% healed on caster
Style 9=Debilitate Body
Style 9 Level=8
Style 9 Description=-27 Strength
Style 10=Minor Essence Consumption
Style 10 Level=10
Style 10 Description=32 DD, 30% healed on caster
Style 11=Weaken Body
Style 11 Level=12
Style 11 Description=-35 Strength
Style 12=Cripple
Style 12 Level=13
Style 12 Description=23 sec. speed reduction
Style 13=Lesser Essence Consumption
Style 13 Level=14
Style 13 Description=45 DD, 30% healed on caster
Style 14=Deteriorate Body
Style 14 Level=17
Style 14 Description=-44 Strength
Style 15=Essence Consumption
Style 15 Level=18
Style 15 Description=59 DD, 40% healed on caster
Style 16=Major Crippling
Style 16 Level=19
Style 16 Description=31 sec. speed reduction
Style 17=Enfeeble Body
Style 17 Level=22
Style 17 Description=-55 Strength
Style 18=Greater Essence Consumption
Style 18 Level=23
Style 18 Description=73 DD, 40% healed on caster
Style 19=Greater Crippling
Style 19 Level=26
Style 19 Description=41 sec. speed reduction
Style 20=Major Essence Consumption
Style 20 Level=28
Style 20 Description=90 DD, 50% healed on caster
Style 21=Degenerate Body
Style 21 Level=29
Style 21 Description=-71 Strength
Style 22=Leg Twist
Style 22 Level=31
Style 22 Description=48 sec. speed reduction
Style 23=Increased Essence Consumption
Style 23 Level=35
Style 23 Description=110 DD, 50% healed on caster
Style 24=Cripple Body
Style 24 Level=37
Style 24 Description=-91 Strength
Style 25=Greater Leg Twist
Style 25 Level=40
Style 25 Description=60 sec. speed reduction
Style 26=Superior Essence Consumption
Style 26 Level=45
Style 26 Description=141 DD, 60% healed on caster
Style 27=Dilapidate Body
Style 27 Level=46
Style 27 Description=-115 Strength
Style 28=Superior Leg Twisting
Style 28 Level=49
Style 28 Description=72 sec. speed reduction
[Matter]
Description=Albion's spell skill for Mages dealing with sel armor buffing and DoTs. Available to Sorcerors and Cabalists.
Style 1=Ward Blow
Style 1 Level=1
Style 1 Description=+27 AF, self-only
Style 2=Corrosive Mist
Style 2 Level=2
Style 2 Description=DoT, 4 damage per 5 seconds
Style 3=Corrosive Fog
Style 3 Level=3
Style 3 Description=DoT, 6 damage per 5 seconds
Style 4=Fend Blow
Style 4 Level=4
Style 4 Description=+35 AF, self-only
Style 5=Corrosive Cloud
Style 5 Level=5
Style 5 Description=DoT, 9 damage per 5 seconds
Style 6=Dampen Blow
Style 6 Level=6
Style 6 Description=+40 AF, self-only
Style 7=Corrosive Smoke
Style 7 Level=7
Style 7 Description=DoT, 13 damage per 5 seconds
Style 8=Mystic Web
Style 8 Level=8
Style 8 Description=-X% Dexterity
Style 9=Deflect Blow
Style 9 Level=9
Style 9 Description=+47 AF, self-only
Style 10=Dissolving Mist
Style 10 Level=10
Style 10 Description=DoT, 17 damage per 5 seconds
Style 11=Mystic Trap
Style 11 Level=12
Style 11 Description=-X% Dexterity
Style 12=Dissolving Fog
Style 12 Level=13
Style 12 Description=DoT, 23 damage per 5 seconds
Style 13=Ward Offense
Style 13 Level=14
Style 13 Description=+60 AF, self-only
Style 14=Dissolving Cloud
Style 14 Level=16
Style 14 Description=DoT, 29 damage per 5 seconds
Style 15=Mystic Net
Style 15 Level=17
Style 15 Description=-X% Dexterity
Style 16=Barrier of Warding
Style 16 Level=19
Style 16 Description=Absords a single hit, self-only
Style 17=Fend Offense
Style 17 Level=20
Style 17 Description=+75 AF, self-only
Style 18=Dissolving Smoke
Style 18 Level=21
Style 18 Description=DoT, 37 damage per 5 seconds
Style 19=Magical Web
Style 19 Level=23
Style 19 Description=-X% Dexterity
Style 20=Disintegrating Fog
Style 20 Level=27
Style 20 Description=DoT, 49 damage per 5 seconds
Style 21=Dampen Offense
Style 21 Level=28
Style 21 Description=+95 AF, self-only
Style 22=Magical Trap
Style 22 Level=29
Style 22 Description=-X% Dexterity
Style 23=Dampening Ward
Style 23 Level=30
Style 23 Description=5% Physical Damage Absorption
Style 24=Disintegrating Cloud
Style 24 Level=35
Style 24 Description=DoT, 63 damage per 5 seconds
Style 25=Magical Net
Style 25 Level=36
Style 25 Description=-X% Dexterity
Style 26=Deflect Offense
Style 26 Level=38
Style 26 Description=+120 AF, self-only
Style 27=Nullifying Ward
Style 27 Level=41
Style 27 Description=10% Physical Damage Absoprtion
Style 28=Disintegrating Smoke
Style 28 Level=44
Style 28 Description=DoT, 79 damage per 5 seconds
Style 29=Sorcerous Web
Style 29 Level=46
Style 29 Description=-X% Dexterity
Style 30=Nullify Offense
Style 30 Level=48
Style 30 Description=+145 AF, self-only
[Spirit Animation]
Description=The Cabalist's spell skill dealing with pet summoning and pet buffs.
Style 1=Amber Simulacrum
Style 1 Level=1
Style 1 Description=Tank with self shield + stun proc
Style 2=Strengthen Spirit
Style 2 Level=3
Style 2 Description=+26 pet Strength
Style 3=Improve Dexterity
Style 3 Level=4
Style 3 Description=+X Pet Dexterity
Style 4=Mend Simalcrum
Style 4 Level=5
Style 4 Description=Pet Healed for X HitPoints
Style 5=Enhance Spirit
Style 5 Level=6
Style 5 Description=+32 pet Strength
Style 6=Ruby Simulacrum
Style 6 Level=7
Style 6 Description=Low Def/HP, but self damage-add
Style 7=Develop Dexterity
Style 7 Level=8
Style 7 Description=+X Pet Dexterity
Style 8=Patch Simalcrum
Style 8 Level=9
Style 8 Description=Pet Healed for X HitPoints
Style 9=Imbue Spirit
Style 9 Level=11
Style 9 Description=+44 pet Strength
Style 10=Sapphire Simulacrum
Style 10 Level=12
Style 10 Description=Lifetap Proc
Style 11=Repair Simalcrum
Style 11 Level=13
Style 11 Description=Pet Healed for X HitPoints
Style 12=Increase Dexterity
Style 12 Level=14
Style 12 Description=+X Pet Dexterity
Style 13=Amplify Spirit
Style 13 Level=18
Style 13 Description=+62 pet Strength
Style 14=Restore Simalcrum
Style 14 Level=19
Style 14 Description=Pet Healed for X HitPoints
Style 15=Emerald Simulacrum
Style 15 Level=20
Style 15 Description=Poison and Disease Procs
Style 16=Enhance Dexterity
Style 16 Level=21
Style 16 Description=+X Pet Dexterity
Style 17=Intensify Spirit
Style 17 Level=24
Style 17 Description=+79 pet Strength
Style 18=Reconstruct Simalcrum
Style 18 Level=28
Style 18 Description=Pet Healed for X HitPoints
Style 19=Magnify Spirit
Style 19 Level=31
Style 19 Description=+101 pet Strength
Style 20=Jade Simulacrum
Style 20 Level=32
Style 20 Description=Self Damage shield
Style 21=Amplify Dexterity
Style 21 Level=33
Style 21 Description=+X Pet Dexterity
Style 22=Reanimate Simalcrum
Style 22 Level=35
Style 22 Description=Pet Healed for X HitPoints
Style 23=Augment Dexterity
Style 23 Level=38
Style 23 Description=+X Pet Dexterity
Style 24=Empower Spirit
Style 24 Level=41
Style 24 Description=+135 pet Strength
Style 25=Rebuild Simalcrum
Style 25 Level=44
Style 25 Description=Pet Healed for X HitPoints
Style 26=Magnify Dexterity
Style 26 Level=48
Style 26 Description=+X Pet Dexterity
[Armor]
Cloth Description=The ability to wear Cloth armor. Even though robes and cloth types differ, every realm has this skill. Every Class gets this skill.
