[Warden]
Base Class=Naturalist
Primary Attribute=Empathy
Secondary Attribute=Strength
Tertiary Attribute=Constitution
Multiplier=1.5
Description=A fighting class whose first steps were along the Way of Nature, Wardens can fight very well using a variety of armor and weapons, as well as receive druidic spells to aid themselves as well as their realmmates.
Specialisation 1=Blades
Style 12=Revenging Blade
Style 12 Level=34
Style 12 Description=Medium fatigue cost, use from behind target, medium bonus damage, medium bonus to hit, medium penalty to defense
Style 13=Spectrum Blade
Style 13 Level=39
Style 13 Description=Medium fatigue cost, use after successful Fire Blade, medium bonus damage, heavy attack speed reduction, small bonus to hit, medium bonus to defense
Style 14=Prismatic Blade
Style 14 Level=44
Style 14 Description=Low fatigue cost, use after successful Kinetic Blade, high bonus damage, medium bonus to hit
Style 15=Brilliant Blade
Style 15 Level=50
Style 15 Description=Medium fatigue cost, use after target fumbles, high bonus damage, very high bonus to hit
[Warden Regrowth Spec]
Description=When a Warden specializes in Regrowth, this skill is opened to him. It deals with healing spells, and self-regen health, and self-regen stamina spells.
Style 1=Attack Unending 
Style 1 Level=2
Style 1 Description=+2 endurance regen per cycle
Style 2=Major Resurgance
Style 2 Level=5
Style 2 Description=Heals 50 HP
Style 3=Solar Conversion 
Style 3 Level=6
Style 3 Description=+2 HP per cycle
Style 4=Major Revival
Style 4 Level=8
Style 4 Description=Heals 75 HP
Style 5=Major Regeneration
Style 5 Level=11
Style 5 Description=Heals 99 HP
Style 6=Attack Unfading 
Style 6 Level=12
Style 6 Description=+3 endurance regen per cycle
Style 7=Solar Absorption 
Style 7 Level=14
Style 7 Description=+3 HP per cycle
Style 8=Major Regrowth
Style 8 Level=15
Style 8 Description=Heals 132 HP
Style 9=Lesser Reconstitution
Style 9 Level=16
Style 9 Description=Res. with 30% HP and 10% Power
Style 10=Major Restoration
Style 10 Level=20
Style 10 Description=Heals 173 HP
Style 11=Attack Perpetual 
Style 11 Level=22
Style 11 Description=+4 endurance regen per cycle
Style 12=Solar Regeneration 
Style 12 Level=25
Style 12 Description=+4 HP per cycle
Style 13=Major Resuscitation
Style 13 Level=26
Style 13 Description=Heals 222 HP
Style 14=Attack Unceasing 
Style 14 Level=32
Style 14 Description=+5 endurance regen per cycle
Style 15=Major Renascence
Style 15 Level=33
Style 15 Description=Heals 279 HP
Style 16=Solar Regrowth 
Style 16 Level=35
Style 16 Description=+5 HP per cycle
Style 17=Major Apotheosis
Style 17 Level=42
Style 17 Description=Heals 352 HP
Style 18=Attack Uninterrupted
Style 18 Level=42
Style 18 Description=+6 endurance regen per cycle
Style 19=Solar Resuscitation 
Style 19 Level=45
Style 19 Description=+6 HP per cycle
[Warden Nurturing Spec]
Description=When a Warden specializes in Nurturing, this skill is opened to him. It deals with self-haste spells, self hit-absorption spells, and group running speed and damage adding spells.
Style 1=Nature's Ward 
Style 1 Level=2
Style 1 Description=Absorb a single hit, self only
Style 2=Ferocity of Nature 
Style 2 Level=3
Style 2 Description=+16% attack speed, self only
Style 3=Guardian's Encouragment 
Style 3 Level=4
Style 3 Description=Group, +23% movement speed
Style 4=Nature's Revenge 
Style 4 Level=5
Style 4 Description=Group, Adds 1.3 Dmg. per sec.
Style 5=Rage of Nature
Style 5 Level=8
Style 5 Description=+19% attack speed, self only
Style 6=Nature's Vendetta 
Style 6 Level=9
Style 6 Description=Group, Adds 1.9 Dmg. per sec.
Style 7=Nature's Fend 
Style 7 Level=10
Style 7 Description=Absorb a single hit
Style 8=Fury of Nature 
Style 8 Level=13
Style 8 Description=+21% attack speed, self only
Style 9=Nature's Vengeance 
Style 9 Level=14
Style 9 Description=Group, Adds 2.7 Dmg. per sec.
Style 10=Benefactor's Encouragment 
Style 10 Level=15
Style 10 Description=Group, +31% movement speed
Style 11=Nature's Shield 
Style 11 Level=18
Style 11 Description=Absorb a single hit, for all in group
Style 12=Nature's Retaliation 
Style 12 Level=19
Style 12 Description=Group, Adds 3.4 Dmg. per sec.
Style 13=Anger of Nature 
Style 13 Level=21
Style 13 Description=+25% attack speed, self only
Style 14=Bolster Health
Style 14 Level=22
Style 14 Description=+X% Body Resistaince
Style 15=Warden's Courage
Style 15 Level=23
Style 15 Description=+X% Spirit Resistaince
Style 16=Protector's Encouragment 
Style 16 Level=24
Style 16 Description=Group, +38% movement speed
Style 17=Nature's Retribution 
Style 17 Level=25
Style 17 Description=Group, Adds 4.3 Dmg. per sec.
Style 18=Nature's Guard 
Style 18 Level=26
Style 18 Description=Absorb a single hit, for all in group, Every 10 seconds
Style 19=Defy Thunder
Style 19 Level=27
Style 19 Description=+X% Energy Resistaince
Style 20=Hostility of Nature 
Style 20 Level=30
Style 20 Description=+30% attack speed, self only
Style 21=Bolster Resilience
Style 21 Level=32
Style 21 Description=+X% Body Resistaince
Style 22=Warden's Honor
Style 22 Level=33
Style 22 Description=+X% Spirit Resistaince
Style 23=Warden's Encouragment 
Style 23 Level=34
Style 23 Description=Group, +45% movement speed
Style 24=Nature's Feud 
Style 24 Level=35
Style 24 Description=Group, Adds 5.8 Dmg. per sec.
Style 25=Nature's Barrier 
Style 25 Level=36
Style 25 Description=Absorb a single hit, for all in group, Every 8 seconds
Style 26=Defy Storm
Style 26 Level=37
Style 26 Description=+X% Energy Resistaince
Style 27=Aggression of Nature 
Style 27 Level=38
Style 27 Description=+34% attack speed, self only
Style 28=Bolster Hardiness
Style 28 Level=43
Style 28 Description=+X% Body Resistaince
Style 29=Paragon's Encouragment
Style 29 Level=44
Style 29 Description=Group, +53% movement speed
Style 30=Nature's Wall
Style 30 Level=45
Style 30 Description=Absorb a single hit, for all in group, Every 6 seconds
Style 31=Nature's Reckoning
Style 31 Level=46
Style 31 Description=Group, Adds 7.5 Dmg. per sec.
Style 32=Reckoning of Nature
Style 32 Level=47
Style 32 Description=+38% attack speed, self only
Style 33=Warden's Spirit
Style 33 Level=48
Style 33 Description=+X% Spirit Resistaince
Style 34=Defy Lightning
Style 34 Level=49
Style 34 Description=+X% Energy Resistaince
[Blunt]
Description=The ability to use one-handed blunt weapons of all kinds. Training in the Blunt Skill results in a decreased damage variance and gives you access to the combat styles.
Style 1=Contusions
Style 1 Level=2
Style 1 Description=High fatigue cost, medium bonus damage
Style 2=Bruiser
Style 2 Level=4
Style 2 Description=Low fatigue cost, use after blocking target, medium bonus damage, short duration stun, medium bonus to hit
Style 3=Blunt Trauma
Style 3 Level=6
Style 3 Description=Medium fatigue cost, no bonus damage, attempt to taunt target off you, medium defensive bonus
Style 4=Slam
Style 4 Level=8
Style 4 Description=Medium fatigue cost, low bonus damage, attempt to taunt target to attack you, medium bonus to hit, medium penalty to defense
Style 5=Side Bash
Style 5 Level=10
Style 5 Description=Medium fatigue cost, use from beside target, medium bonus damage, low attack speed reduction, small bonus to hit
Style 6=Impact
Style 6 Level=12
Style 6 Description=Low fatigue cost, use after successful Bruiser, medium bonus damage, short duration bleed, medium bonus to hit, small penalty to defense
Style 7=Recovery
Style 7 Level=15
Style 7 Description=Low fatigue cost, use after you fumble, medium bonus damage, medium duration stun, high bonus to hit, small bonus to defense
Style 8=Force of Might
Style 8 Level=18
Style 8 Description=High fatigue cost, use any time, medium bonus damage, small bonus to hit
Style 9=Unstoppable Force
Style 9 Level=21
Style 9 Description=Medium fatigue cost, use after successful Side Bash, medium bonus damage, medium duration movement reduction, medium bonus to hit, small bonus to defense
Style 10=Back Crush
Style 10 Level=25
Style 10 Description=Medium fatigue cost, use from behind target, high bonus damage, medium bonus to hit, medium penalty to defense
Style 11=Bone Crusher
Style 11 Level=29
Style 11 Description=Low fatigue cost, use after successful Recovery, medium bonus damage, medium duration bleed, medium bonus to hit, small bonus to defense
Style 12=Mauler
Style 12 Level=34
Style 12 Description=Medium fatigue cost, use after successful Unstoppable Force, high bonus damage, medium bonus to hit, medium bonus to defense
Style 13=Stunning Blow
Style 13 Level=39
Style 13 Description=Low fatigue cost, use after parrying target, medium bonus damage, heavy attack speed reduction, medium bonus to hit, small bonus to defense
Style 14=Crushing Blow
Style 14 Level=44
Style 14 Description=Medium fatigue cost, use after successful Back Crush, medium bonus damage, very high bonus to hit, small bonus to defense
Style 15=Devastating Blow
Style 15 Level=50
Style 15 Description=Medium fatigue cost, use after successful Stunning Blow, medium bonus damage, long duration stun, medium bonus to hit
[Parry]
Description=The ability block a blow from your opponent using your weapon. This is an invaluable ability for those not using shields.
[Regrowth]
Description=Hibernia's spell skill dealing with healing. Available to Bards, Druids, and Wardens.
Style 1=Minor Revigoration 
Style 1 Level=1
Style 1 Description=Heals 5 HP
Style 2=Minor Renewal 
Style 2 Level=3
Style 2 Description=Heals 8 HP
Style 3=Renewal
Style 3 Level=4
Style 3 Description=Heals 22 HP
Style 4=Minor Revivification 
Style 4 Level=5
Style 4 Description=Heals 11 HP
Style 5=Revivification
Style 5 Level=6
Style 5 Description=Heals 30 HP
Style 6=Minor Resurgance 
Style 6 Level=8
Style 6 Description=Heals 16 HP
Style 7=Resurgance
Style 7 Level=9
Style 7 Description=Heals 42 HP
Style 8=Minor Reconstitution
Style 8 Level=10
Style 8 Description=Resurect with 10% health.
Style 9=Minor Revival 
Style 9 Level=11
Style 9 Description=Heals 21 HP
Style 10=Revival
Style 10 Level=12
Style 10 Description=Heals 54 HP
Style 11=Minor Regeneration 
Style 11 Level=14
Style 11 Description=Heals 26 HP
Style 12=Regeneration
Style 12 Level=16
Style 12 Description=Heals 71 HP
Style 13=Minor Regrowth 
Style 13 Level=18
Style 13 Description=Heals 33 HP
Style 14=Regrowth
Style 14 Level=21
Style 14 Description=Heals 91 HP
Style 15=Minor Restoration 
Style 15 Level=23
Style 15 Description=Heals 41 HP
Style 16=Restoration
Style 16 Level=27
Style 16 Description=Heals 116 HP
Style 17=Minor Resuscitation 
Style 17 Level=29
Style 17 Description=Heals 50 HP
Style 18=Resuscitation
Style 18 Level=31
Style 18 Description=Heals 132 HP
Style 19=Renascence
Style 19 Level=36
Style 19 Description=Heals 152 HP
Style 20=Minor Renascence 
Style 20 Level=37
Style 20 Description=Heals 64 HP
Style 21=Apotheosis
Style 21 Level=46
Style 21 Description=Heals 193 HP
Style 22=Minor Apotheosis
Style 22 Level=47
Style 22 Description=Heals 80 HP
[Nurturing]
Description=Hibernia's spell skill dealing with armor and stat buffing. Available to Bards, Druids, and Wardens.
Style 1=Minor Bark Skin
Style 1 Level=2
Style 1 Description=+12 armor factor
Style 2=Strength of the Oak
Style 2 Level=3
Style 2 Description=+3 strength
Style 3=Lesser Bark Skin
Style 3 Level=4
Style 3 Description=+14 armor factor
Style 4=Oak's Stoutness
Style 4 Level=5
Style 4 Description=+5 Constitution
Style 5=Bark Skin
Style 5 Level=6
Style 5 Description=+16 armor factor
Style 6=Strength of the Redwood
Style 6 Level=7
Style 6 Description=+7 strength
Style 7=Dexterity of the Ferret
Style 7 Level=8
Style 7 Description=+8 dexterity
Style 8=Major Bark Skin
Style 8 Level=9
Style 8 Description=+19 armor factor
Style 9=Oak's Stamina
Style 9 Level=11
Style 9 Description=+11 Constitution
Style 10=Greater Bark Skin
Style 10 Level=12
Style 10 Description=+22 armor factor
Style 11=Dexterity of the Rabbit
Style 11 Level=13
Style 11 Description=+13 dexterity
Style 12=Vigor of the Oak
Style 12 Level=14
Style 12 Description=+14 strength
Style 13=Oak's Girth
Style 13 Level=15
Style 13 Description=+15 Constitution
Style 14=Superior Bark Skin
Style 14 Level=17
Style 14 Description=+27 armor factor
Style 15=Dexterity of the Badger
Style 15 Level=19
Style 15 Description=+19 dexterity
Style 16=Vigor of the Redwood
Style 16 Level=20
Style 16 Description=+20 strength
Style 17=Skin of the Redwood
Style 17 Level=21
Style 17 Description=+31 armor factor
Style 18=Redwood's Stoutness
Style 18 Level=24
Style 18 Description=+24 Constitution
Style 19=Greater Skin of the Redwood
Style 19 Level=26
Style 19 Description=+36 armor factor
Style 20=Dexterity of the Lynx
Style 20 Level=28
Style 20 Description=+28 dexterity
Style 21=Force of the Oak
Style 21 Level=30
Style 21 Description=+30 strength
Style 22=Major Skin of the Redwood
Style 22 Level=32
Style 22 Description=+42 armor factor
Style 23=Redwood's Stamina
Style 23 Level=33
Style 23 Description=+33 Constitution
Style 24=Dexterity of the Bear
Style 24 Level=38
Style 24 Description=+38 dexterity
Style 25=Force of the Redwood
Style 25 Level=41
Style 25 Description=+41 strength
Style 26=Redwood's Girth
Style 26 Level=43
Style 26 Description=+43 Constitution
Style 27=Superior Skin of the Redwood
Style 27 Level=45
Style 27 Description=+55 armor factor
Style 28=Dexterity of the Wolf
Style 28 Level=48
Style 28 Description=+48 dexterity
Style 29=Might of the Redwood
Style 29 Level=50
Style 29 Description=+50 strength
[Armor]
Small Shields Description=The ability to wield Small Shields.
Leather Description=The ability to wear Leather armor. Even though the leather types differ, every realm has this skill.
Cloth Description=The ability to wear Cloth armor. Even though robes and cloth types differ, every realm has this skill. Every Class gets this skill.
Medium Shields Description=The ability to wield Medium Shields.
Reinforced Description=The ability to wear Reinforced armors, usually made from leather with a reinforcing agent, like bone.
Scale Description=The ability to wear Scale armors, made from all natural scale types, such as bark.
